TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train
CHEMBL3063083,0.625,0.75,0.0,0.0,0.861+/-0.145
CHEMBL3067105,0.1875,0.2222222222222222,0.0,0.0,0.621+/-0.147
CHEMBL3069079,0.5625,0.5925925925925926,0.0,0.0,0.584+/-0.069
CHEMBL3073615,0.0625,0.1,0.0,0.0,1.0+/-0.0
CHEMBL3074007,0.5,0.5081967213114754,0.0,0.0,0.957+/-0.019
CHEMBL3078730,0.8125,0.8181818181818181,0.0,0.0,0.84+/-0.068
CHEMBL3088595,0.375,0.3888888888888889,0.0,0.0,0.575+/-0.135
CHEMBL3089774,0.25,0.2142857142857142,0.0,0.0,0.803+/-0.221
CHEMBL3094979,0.4375,0.4,0.0,0.0,0.925+/-0.121
CHEMBL3096264,0.1875,0.25,0.0,0.0,1.0+/-0.0
CHEMBL3100980,0.875,0.888888888888889,0.0,0.0,0.874+/-0.077
